,sentiment,text
9743,1,i can t find my woody and buzz toys but i ve got my bullseye teddy exclamation do you have toy story toys question 8 
7552,0,back to my office the fire alarm went off due to someone burnt food in microwave
22,0,i miss rich
14202,1, woofers i knew it was you
7049,0, i wish i had friends i could spend the night with
24943,2,rice is ready to eat off now to watch comet 2009 exclamation the most important music price in germany wow n lisa arrives around 12p m still 2 hours
12431,1, you didn t give out followfriday advice like i told you question 
7880,0,shopped til i dropped come bac sunshine i miss u
25357,2, it s simple for those who know how to use it hahaa i m glad you re okay censored x
19853,2,going to work once again what a great few days off i had now it s over but atleast i get 2 more commin up wahooooooo
22340,2,the time in germany went by too fast only 2 days left hopefully i will move here soon 
22282,2,it s my wall and i like saying i banned zac efron lol sonny
237,0, that is super sad how is bart etc holding up question 
21368,2,awwww bless her she needs another chance 
2630,0, oh ok thanks dont know where the courthouse id either i ll learn though any nkotb question twitter stole my pic again it hates me
20736,2, i m back on long island today after spending the weekend in manchester vt hope you have a great week ahead 
20851,2,so i picked up chris botti s live in boston cd listening while driving home tonight under the moon didn t want it to end 
15896,1,all the food in my house has sugar ants in it
19011,2, i m fine thanks wbu question 
24473,2,feeling loved exclamation my mom got me a nikon cool pix for my birthday exclamation exclamation exclamation exclamation 
15237,1, i was really disappointed with the whole promiscuous girl thing congrats on her success but i think wasted talent
13238,1, hugs why question 
17613,2,uber bored atm after out of the blue will have shower then watch house or numb3rs vid then csi csi ny bones double yay exclamation 
11870,1, how was the ice cream question 
1269,0,listening to music feeling kind of down
18571,2, braving the standby line theview bright early today exclamation exclamation hope to hear about your book hope i get in exclamation 3rd time s the charm
17999,2, pics question ah i ll probably see you at work at some point hopefully b4 it grows out too much
16159,1,at the reception eating some nasty censored pasta woot exclamation but other than that its beautiful exclamation 
2191,0,awww poor little girl on britains got talent
9203,1,wishing i could see n e r d headline fest at depaul tonight
10369,1, we do exclamation its been to long exclamation i think i have next weekend open when are you going to have the house warming party
20040,2,_melbourne sounds good exclamation say hi if you run into me there exclamation i m always always having coffee there
20104,2,beautiful day and im working leaving now so i can get some sun though
9064,1,i need a break pfff work sucksss will be in myrtle beach sc in 45 days things like that make me soooo happy woeiwoeiwoei
13874,1, i know hhrs
13866,1, yeah i ve never seen that exclamation but i guess i ve never really needed it 
4128,0,its at 3 am im very tired but i can t sleep
13830,1,with emma going 2 see diversity today o x
25635,2,ugh what an amazing night time for bed exclamation i know i m gonna sleep well and with no getting up early exclamation good night exclamation 
23846,2, yeah i m so happy for them that they should moved on and out there partying i m so happy
654,0, it wouldn t let me download it cos it said i m the uk i had a little cry 
3325,0,wish i brought some warmer clothes it s chilly here only negative thing about the trip the no sun which is connected to chilliness 
15512,1,i finished all my work exclamation 
25458,2,just started on here and i already see and are by far the biggest talkers er i mean tweeters exclamation 
7879,0, i broke my ipod
1957,0, business or pleasure question will keep my eye out for anything you re just missing a moondog concert tomorrow night
20704,2,nice sunny day
5848,0, saddest thing i ve seen a while
22749,2, yea exclamation exclamation way to go exclamation super excited for a great midwest resource exclamation exclamation exclamation midwest pride exclamation 
26293,2, censored censored and blast exclamation i m at lmhr tomorrow and sam out who is running it question i could see if she could join next week question 
6522,0,the case for my ipod touch is literally falling apart so junk
9946,1,and egg whites with 7 grain toast yup exclamation 
1765,0,now aches chills have joined the party why couldn t the cold just go away question it had to get worse question 
4380,0, if they recorded it and sent it to people they obviously meant for it to get out there but if they didn t i feel bad 
7203,0,sorry to tweet about bgt but poor wonderful crazy weird greg so not fair the silly little girl is never going to cope urgh not fair 
10309,1, anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys
13399,1,on the way to nanny school starts tomorrow exclamation one step closer to being a teacher exclamation 
22948,2, shiv his place slowly i hope
8219,0, i m 25 in december that s not good at all next big birthday is 30 after 21 it flys by for sure
4478,0, i m sorry darling i m all over the place tonight i didn t mean to neglect you 
13300,1, i m so ready for the weekend did you see all the flash flood warnings for around here question 
22777,2,is loving mortal combat right now exclamation 
2289,0, fyi connie and carla is not as totally awesome as the previews make it seem sorry about that one 
18784,2, brent cross question wow exclamation i live very close from there exclamation 
3419,0,gah how am i supposed to study when all i do is sneeze and get even more tired 
20088,2, ah i love u exclamation u got a twitterrr
12207,1,will be practicing my smile today it s gunna be big exclamation 
24567,2, happy birthday exclamation exclamation 
7696,0, sorry i couldn t fit hal s name
13344,1,updated blog shows you should be watching the unusuals go check it out
2087,0,sore throat this is not good i have four performances this weekend 
10518,1,yaaw some one want call with me question question 5529634599
3815,0,omg trying to fix pic but its not working exclamation exclamation exclamation exclamation ugh also mom wont let me sleep over sanzz exclamation exclamation exclamation exclamation exclamation bad day exclamation exclamation exclamation exclamation 
22054,2, you needed to watch the white house correspondent s dinner that would have cheered you up exclamation 
1859,0,can feel a headache growing 
3220,0,oh ouch that hurt censored washing machine is out to get me exclamation 
2876,0,trying to finish moving stuff for tonight don t feel good exclamation exclamation exclamation exclamation exclamation 
17215,1,she s smarter and classier she s perfect for him and im not 
23115,2, well thank you 
16763,1,waiting on laundry to finish so i can go home think i ll do my nails while i wait
8614,0, that sucks exclamation put some britney on exclamation 
24863,2, forward to starting teaching new students all about hypnosis will have plenty of laughs i m sure
5455,0,sephora is having a 75 off sale and i m so broke life isn t fair 
22645,2,lol me and whispering so we don t get in trouble and being almost 30 exclamation feels great to be home feeling like kids
19062,2, she s hot what is up w all the unknown followers question i ve got quite a few no clue as to why they re following me 
1208,0, omg are u still naked 1313 xdd omg i miss you so muuch
10979,1,_carter can t see it it says this video is private 
18518,2, i wish you could come to swindon 2 hours away its my dream to meet you xoxo
899,0, hi i m ok still not feeling great
9478,1,thinks lamb chops would be really nice right about now or maybe some sushi mmm maybe just an ice lolly cos its so censored hot exclamation exclamation exclamation 
19023,2, i agree about the redesigned q13 site exclamation looks great on computer phone 
16663,1, yes thanks its been great soooooo not looking forward to monday
9485,1, yessssss wore myself out this weekend planting my garden and working
7735,0, i hope so i really need one exclamation we ll see unfortunately drama always finds me 
9616,1,fell off the wagon and had a maccy s exclamation exclamation fell off the wagon and had a maccy s exclamation exclamation 
12802,1, definitely or even just i ll call you they never do how was ur day question censored 
18285,2, hey we were doing the same thing this weekend exclamation but it was for the kiddos gotta love ikea
19442,2,happy mother s day exclamation i love my mommy
6183,0,my entire body hurts shower hot tea and tv please 
14207,1,_bishop sez need to get u to look at my flights again will email ur work tonite
18880,2,says good evening 
3249,0, bgt that poor kid
3642,0,aarrgghh fu k a hose has leaked water all over the new floating floor
25639,2,i have an awesome picture of happy pint but it s not sending
11570,1, ach probably not they are labeled as mi 5 which i believe was the name used when they aired on bbc america
12870,1,_jackson already there s none left back to cabbage soup
16462,1,i really wanted to go to surfers today
13590,1,_fc sounds good maybe some player quotes photos etc i m living in wa atm so would love bits and pieces from the ady and sun
26189,2, haha yeah i meant mall exclamation winks back 
21242,2,just saw the new star trek movie it was so good exclamation exclamation zachary quinto is amazingggg
5818,0,my arms hurt
12558,1,i m dragging myself out of the low point slowly and with wine to assist prob not v sensible but these lows don t hit very often 
1426,0,im bored rc is goin maintenance
25390,2, haha me either but like ive always loved hilary shes the girl id turn censored for haha
4242,0, i can t be mean without you 
7094,0, resistance was futile exclamation needed pretties to knit with
16313,1,my wife lost her sprint blackberry 8330 on a bike ride in am anyone have an extra bb laying around question retweet
15323,1, i m just bustin ya chops it s not bad never seen any real appeal to last fm is all bad quality audio from censored artists
21423,2,i m entering a two month study exam period which is awesome see you on the flip side
18193,2,1 2 mile run and 450 meter swim things are looking better and better laying off the bike today
17292,1, not quite as much hmmm products in us that are not in canada question question idk do you have covergirl question 
11745,1,had the lovliest night last night but was ruined by doctors inability to warn me of side effects back again for more tests 
13360,1,heeder s again and on monday as well absolutely no plans for the weekend
7187,0,cant sleep so tired exclamation goodnight maybe 
473,0,missing my hobo censored tramp way of life and cooking for my mother on a saturday night mama i luv u
12356,1,_deadgirl hard stare 
2845,0, ha exclamation i dunno about standing anything up very very rough today it hurts to talk 
19435,2, i m sure mayor brainard will be thrilled to hear that you re a fan 
19206,2,the curious case of benjamin button exclamation exclamation exclamation exclamation exclamation i m so excited about this censored movie
15253,1, my sentiments exactly
24118,2,_bach daps were the best lol
23535,2, apple has done some impressive things for my almost 2 year old macbook except when i poured coffee into the keyboard 
19378,2,loves finding new followers
22983,2, thanks very much for the ff exclamation my only one today
11800,1,did you know call of duty has a scenario game called nazi zombies question it s awesome and scary at the same time
16986,1,there is nothing for me to do here wk i should just go home or i can go look at bathing suits bah humbug lol
10543,1,on my way home from ny then sleeping
1049,0,riding daddy s bike yes a man s bike very convenient exclamation not in the dark without glasses on i was scared but i survived haha
24324,2, nice one exclamation 
2047,0, that sucks exclamation it s thundering here i m getting ready to shut down 
16031,1,going to bed after beating the snot out of hubby w texas hold em
6987,0,had to stay home while my wife takes my daughter and a few friends out to tokyo steak house sadly my body is not cooperating today
5764,0,i really wish i was spoiled exclamation 
14760,1,i wanna see drag me to hell someone take meee exclamation oh and follow me and subscribe 
25986,2,working again today but off tomorrow for dan s party exclamation yay exclamation 
21883,2, ima goodgirl i m not down with takin advantage
4684,0,don t want to go exclamation exclamation exclamation 
7949,0,i got a bruise on my foot out if nowhere exclamation it hurts exclamation 
19061,2, lol me too exclamation exclamation 
17350,1,it s hard to tell but i think i m right i hope 
4017,0,_dang my phone is still broken just come over whenever 
11935,1, i hope so eclipse is up and running again btw exclamation 
23137,2,watched yes man it was good 
15431,1, make her something buying something is too impersonal she s your mom exclamation 
15640,1,bank holiday off to the station now catch you all later 
4257,0,finally mike0hh s birthday 3 can t wait to censored ruin it
62,0,i m going to miss my imac so much over the next month 
14129,1,some advice for all of you dont pressure wash your foot it hurts and is not worth it you really do want the skin on your foot fyi ow
19513,2,happy mothers day to all the mommys exspecially mine love you mommy
10916,1, yes you are addicted half my twitter friend updates are yours
14886,1,a girl in my big hair rock today black velvet baby question 
6942,0, i must admit when i first saw that name posted i thought it was an exploit attempt
7545,0,slaving away at work
5253,0, sorry to hear that 
262,0,i have class tomorrow and tomorrow is saturday i hate having class saturday
107,0, oh i would def give it 2 u but tht was kenyatta s cam not mine sry but i want tht pic 2
11675,1,ahahah with sandy bekz erin and derrian
14160,1, aww yeah it s more fun revising with others but you get distracted easier yeah i m tired revising history
18368,2,mama question you re the best thing that ever happen to me thanks for everything and sorry for hurting you i love you exclamation 3
16925,1,santa monica bound
23068,2,i wish the weather would be slightly less rainy so i could use the hot tub 
10509,1,eat it caps 3 2
17291,1, aww i know its my addiction exclamation awww i know sameee exclamation its just more more more exclamation 
14589,1,12 more days until ca exclamation exclamation i get to see my paniniii
16738,1,if you guys would be interested in watching me get tattooed tomorrow let me know exclamation 
4430,0,the pool is just not fun without tim in it 
25748,2, thanks to follow have a nice rest
21026,2,is excited about taylor swift on wednesday exclamation exclamation exclamation 
22207,2, cool your too good to me you know
18596,2,picture to burn taylor swift exclamation great song exclamation 
25498,2,hoping i hear something soon about krystles surgery
1477,0,crying real tears
6272,0,i got in a fight with ryan now hes like crying and im just dead inside sigggh
7962,0,not going to graduation hubby to be not feeling well so instead doing more job hunting online exclamation 
13864,1,_oliver whats for breaky then russtle something up for my hangover please our jamie lmao
11704,1, i was supposed to go tomorrow tooooo but have to use gas and ticket money to pay for car inspection fee 
23806,2, ty sweetheart
20076,2,i am up and feeling pretty censored gud exclamation i dont even have a hangover what a nice feeling
21050,2,in a really good mood for absolutely no reason tee her
25444,2, dark berry mocha frapp heaven try it everyone exclamation exclamation here let me pass it to you
10637,1,is now on twitter 
12095,1, no loic you need to build in a scheduler that lets us post while we sleep
12792,1, that includes you 
3173,0,im so tired of my responsabilities i wish i was a kid it seems that everyone around me is all about money and not me anymore
3259,0, well thatã â â½s disappointing to hear 
7794,0,i miss my boys
21905,2, last night was awesome exclamation thanks for all the hard work you put into it exclamation off to get some coffee now 
14696,1, oh how is milan question i could do with a holiday exclamation bfoyf is off to geneva today visiting fam so ive got a weekend on my own
9099,1,_devil1 big brother quiz question what question exclamation i m too busy rocking out on guitar hero i didn t notice any such thing
11018,1,_tah oh no hugs 
2624,0,worst day ever and its only noon 
25048,2, aww thanks hopefully it is
19915,2, he ll be 3 in july exclamation i m just soo stoked exclamation exclamation exclamation exclamation especially since he sleeps with us lol he refuses to wear diapers anymore
21265,2,morning twitterbugs nothing like a loooooooooong lie in exclamation exclamation 
9479,1,just sittin here waitin for my coffee to be full grown on farm town before going to bed
10449,1, oh mannn i m gonna be there tomorroww
21093,2, meeeee exclamation it sounds delicious
17435,1, like double posting on twitter question lol not me i don t take anything 
26280,2,jonas was absolutely heartwarming now time for bed goodnight exclamation 
6362,0, but i could barely speak exclamation he was probably thinking who is the weirdo question looool say sorry to him for me please question x 3
7238,0, if you don t want to come then don t come jeeeeez 
25319,2, cheers for that exclamation will have a look at that later and hopefully get sorted exclamation 
4068,0,says bad trip exclamation angry 
3808,0,my tummy hurts i blame last night s chinese food 
6335,0,not going to the dance recital and now i feel like a piece of censored cuz it cost so much money
21923,2,chocolate milk is so much better through a straw i lack said straw
12714,1,i know exactly where i should be
17554,1,in the arts having coffee and cake
259,0, darn no bacon
21791,2,14 pages left to read then it will be time to start all over again and again off to lunch duty love 6th graders
8852,1, i need to watch star trek
8050,0,still gutted that man utd lost
8983,1, u just got me real excited cause i thought teniece was on twitter 
19760,2,happy mothers day
14600,1,why am i still away at 4am question cos i don t have school tomorrow that s why 
10645,1,staying after school today
3748,0,frank from ups last day today sad to see him go best delivery guy ever exclamation hope the new guy is not a fucktard 
17788,2, presentation went well yes i also met a buch of cool people checked your portfolio nice work details in the projects 
13203,1,caps lost argh exclamation but hp game evening was much fun
13033,1, does the creepy lolipop guy play head esploder 5 question question 
16304,1,_dinasadik forensic mein kya hai exclamation bas rat te jaao and micro question havin a micro exam soon the lab diagnosis of all d individual bacteria exclamation 
1918,0,watching chicago honeyyyy im with you i miss me some hey arnold exclamation and wild thornberrys
12403,1, i think your blog should ve been on the list
13665,1,see that traffic northbound question that s my commute 
13515,1,is planning for surviving financial status after quitting my job gotta find a new job within 4 months
573,0,2 hours after teleconference but can t go back to sleep got some work to do sigh sigh
9988,1,_poh what kind of party do we got going now question 
3901,0, amhzz did u get an invite question i miss u
18658,2, yikeysss exclamation exclamation i m harmless really exclamation exclamation just want some attention from brody exclamation exclamation exclamation 
16314,1, weird cause i synced mine this morning and got the new episode 
10374,1,just got home and counting the days till friday
11515,1,is feeling fab today and missing my boo
5115,0, i m just starting it brinn guess what question question i get my laptop back but i can t use the messenger hate it 
19763,2, also try friendly fires if you haven t already heard them great stuff and florence and the machine great great music
229,0,i am very sad because i have gone on the show mcfly fan i am of them exclamation 
8907,1, drool i still need to 100 the first one
25271,2, no worries going to abp right now want something question 
9720,1,yay exclamation exclamation my computer came today too bad it s being held hostage at my parents house until i can pick it up
2126,0,can t i mix and match dumb drive in exclamation 
6675,0,cannot sleep 2 hours of tossing and turning 
3510,0,just got home from school and from the wake of my friend s father so tired 
16403,1, i ve got one too though i think mine was attributed to the seizure inducing color light show in the movie the soloist 
14077,1,good morning plan for the day church followed by f1 lunch at mum dads then dm discussions of star trek exclamation 
5470,0,i miss my cousin so much
7351,0, once james cameron touches something and revolutionizes it someone else comes along and censored it up
2290,0, aw wasn censored sad question exclamation give ginger a little pat on the head for me exclamation mwah exclamation 
4406,0, that s what i tell everyone exclamation their food is the worst exclamation no one understands my horror 
24160,2, fear not exclamation you deserve alot you care for animals i ll get some food don t worry exclamation 
17576,2, lol exclamation i don t know exclamation but you dont need the plant exclamation i ll give you a hug instead exclamation hugs exclamation 
1585,0,just finished cleaning the bathroom now i smell like clorox
17888,2,wants to feel better
14339,1, ah that would explain the italian colouring
8652,0, haha no chance i tweet rubbish back exclamation 
14882,1, can i have a splodge of ketchup on mine please question exclamation 
26111,2, doing really well exclamation i will stay here as long as is needed exclamation so you can definitely come and visit me exclamation exclamation look forward too 
2416,0,i really miss sebastian
12159,1, i ma need you to follow me real quick cause i can t dm you
16752,1,currently working on the sdp s prototype so much to do 
21072,2,_twist86 censored is picking up exclamation 
19505,2,i wish i could go to meet in the middle tomorrow 
12695,1, i don t know how to use this
14744,1,is leaving in the morning to go to her mommys
16869,1,headin 2 chilis mr presidente s callin my name exclamation then 2 the ice house
15380,1, hmm so late well its early for me ha
8328,0,is bored at work
18624,2, haha you didn t do anything wrong 
23992,2,i love my memories it s almost like re reading my favourite book all over again
22866,2, thanks for viewing my portfolio www wahliao com i ll be updating it sometimes will keep u updated 
16406,1,going to watch a dvd with hubby eagle eye twit u all 2morrow cia
7863,0,i am watching blood on veoh episode 19 love the music wishing i could watch the live action but not old enough
17855,2, nice exclamation now gimmeh some nice stuff
3348,0, they better not be out when i get there i need my fix exclamation 
22117,2,engaged may 1st to the best guy i could not be happier exclamation i love you jay exclamation 
25113,2, i send messages to greg all the time no answer its ok i still love o a goog luck with your move to erie 
10978,1, perhaps because it s 3 am minday morning
22164,2,watching snl with guess justin timberlake omg exclamation he is too funny exclamation hahahah
7342,0, in that case that s a stupid move i thought they were being b a
4271,0,more sunburn
7447,0,i m bored hope your wlan will go today exclamation 
24526,2, awesome exclamation it feels very fulfilling doesn censored question i m gonna work on soooo many people over the summer exclamation totally excited exclamation 
14731,1,omg that little girl on bgt exclamation exclamation exclamation exclamation exclamation exclamation exclamation exclamation 
11569,1,i hav a chance to win 10 100 1000 i was given a free can of plant have to wait till the plant grow to know if i won anythin exclamation exclamation question exclamation 
23003,2, good luck with the footage none of the stations are breaking in live with it
15469,1,its my bday exclamation exclamation exclamation i m gettin older exclamation 
18889,2,_ it s on again right now exclamation exclamation ah i love demi lovato
24245,2,i m going to see sweeney todd on stage with my best friend for her bday today i know i m going to be the one who sings along exclamation exclamation 
7754,0,im wearing a certain tye dye tshirt at the moment and it misses its 8 counterparts 
24331,2,loving my new hr monitor
8152,0,sad that david is leaving tomoro for a week 
10354,1, it tells me i m not a member of the private beta and i m not going to just start pretending to assassinate people
430,0,layin in bed awake txtin my girl in vegas wishin i didn t have to work and i was w her
15444,1, alright i really wish you guys could ve done a show in tennessee because now i can t go to one of your shows 
4457,0,yeah i was wasting my time fail
17523,1, has tickets question 
2793,0, i had mailed for something you got the e mail i didn t which should probly mean i won t get it
25915,2, phlegmily green house that was clever but ever sooooooo eeeeewwwwww more slow clapping get well soon 
3017,0,i think that studying has really started taking its toll 
19826,2, love you 2 so how are you question xxxx
5313,0,i was sleeping soo good but just woke up like 10 mins ago n got sick not feeling so great i wanna go back to sleep but i m wide awake 
19808,2, nothing yet still looking but lets for sure do lunch next week exclamation exclamation 
2219,0, cupcake exclamation exclamation you can call me anything but bitch i suppose and even then under certain circumstances 
11226,1,i may have to take a trip in to the loft to get the fans down its like being in spain exclamation exclamation except without a pool to cool down in xxxxxxxx
7590,0, a steak burrito bowl right exclamation i wish i wasn t too lazy to go downtown
14534,1, what a smashing show tonight exclamation love the killers exclamation wish i had been there gutted such a shame they got cut off mid song at the end
10472,1,just got a wii
3360,0, wish i was out an about stuck in with a pile of boxes a sore back and a load of tesco blue shopper bags to fill from the kitchen
4329,0,getting stressed over a sortie tomorrow and like i am really really stress 
17571,2, hi susan read your blog it s really good i look forward for the tweet updates
10769,1, soak your had in hot water but not boiling for about 30mins it ll pull them right out
25630,2,mom where ever you are happy mothers day
14341,1, because you had chips and sale w o me
16066,1,out with bre jimmy and jon p question 
22816,2, me too it depresses me thinking about it 
19862,2,prom was awesome 
8944,1,one week until race for the cure exclamation please donate if you re able and wish me luck on my 5 mile training run tomorrow
25279,2, thx exclamation hoping it s a good week 
18541,2,spent a little too much at wombat but it s cool cuz it was time to take care of tamara good yay exclamation 
7310,0,going to tmobile i need a new phone this g1 is so not working for me anymore
2298,0,just lost my internet signal how will life go on
14964,1,happy sammy is going 2 here 2morrow exclamation exclamation but unfortunatly i m not gone be able 2 go 2 the club he performing 
5207,0, ugh frustrating i see a few briefs a week with groups in them mostly from traditional agencies 
7216,0, u were doing good with the replys now u fallin off sad face
23874,2, yes nag twitter haha thanks lm 
20020,2, really question awesome exclamation 
13623,1,im sitting here super nervous about the chiodos contest i hope i win exclamation exclamation exclamation exclamation 
2998,0,arghhhhhhhhh i can t keep up with these twitterbones peeps
14343,1,sore head hope my girls ok
3530,0,i am sad because i broke my super awesome giant paper clip i was using for my italy notes
9644,1,i looking at failure
13873,1, hehe until it comes back your fb friends get a twitter respite huh question jk exclamation 
16883,1, paranoid i actually like it better performed live rather than the studio version 
16172,1, i will take pics soon also i would hang out with you everyday if we lived near each other
25675,2,had an amazing night with my favorite lady friend
17199,1, you re surrounded by them exclamation i have no official nieces nephews yet
22934,2, mother happy mother s day and to all mom s there god bless yhaw all question 
20675,2,has the greatest friends in the entire world
7673,0, yeah yeah its the hifi lol grr dads being a pain he said if i dont find anyone to go with i cant go 
14427,1, me you counting crows exclamation table mountain casino event center near fresno july 19 are we there or are we there question question 
2616,0,sad assembly next block
23890,2,i have fantastic friends
7741,0,it s not now nor has it ever been weigly north exclamation exclamation have avoid drive home exclamation exclamation 
6398,0,sooo tired i wish i had time for a nap before work
16846,1,i got no followers i only have like 2 someone follow me please question 
8749,0, the problem is superstars always deliver huge files exclamation too much energy pixels
11843,1,anyone want my chocolate nutella mochi question its just gonna go to waste
19844,2,last day of work but everyone is making it so great exclamation 
13232,1, awww that sucks but they re so awesome when you get one all squeeky and happy i only have one left now though
15630,1, what s that question the sun question no sign here
16769,1, for cervical cancer i have to get 2 more
12729,1, where you at question no tweeting today question no gardening either i bet question 
13520,1,good morning everyone exclamation exclamation time for work
16937,1,first night sleeping in my new home
3778,0,i missed you yesterday lacey we get to go to granulation tonight though 
5528,0,well enough mushy family talk to bed i stubbornly go 
24613,2,houstatlantavegas sooner than later nov 18th a night off successful over and over for the last 2837 hours heavennn
1414,0,i m sad to have lost another person close to me to cancer
4441,0,1am quietly tidying up after dinner party whilst closing tupprwre lid centre island in my kitchen collapses exclamation wakes baby mayhem ensues
8532,0, well even with her breakdown she was better than the other acts unfortunately exclamation britain s got very little talent
11979,1, someone hardcoded 650mb into my brain back in the 90s
6733,0,would like a hug and a kiss from eric long distances really really stink
9349,1, its been a fun afternoon for me trying though bbq s out now though feeling a bit sick
7945,0, censored week all censored week off to the gym now with the worst headache 
23962,2, wow that s quite a long time for studying good luck with the job hunting though yes also a mac user imac this side hehe
8867,1,neighborhood research today day 1 of 5 and a little bit of shopping
10407,1,waiting in line to get gas 94 degrees today
2898,0,that s it exclamation my local coffeeshop has sold me censored stuff for the last time i m quitting exclamation 
18994,2,dang baby i love you ma
24524,2, hi lisa you have the most beautiful pups exclamation happy mothers day exclamation 2 raven rio thors wonderfur mama exclamation exclamation kittykisses 
23534,2,happy mothers day to all moms out there exclamation exclamation 
22346,2,today is another good day for some less extreme experiences anyone a fan of 24 question i m watching season 4 now
18976,2, thanks exclamation exclamation i m a fabric addict lately i ve bought soooo much exclamation 
8785,1, i have no idea whether or not to drink anymore 
4066,0,is very very tired just want to sleep stupid work getting in the way exclamation exclamation exclamation 
15481,1,_stack i wish i could go to both but i don t think i ll be allowed p either way with two shows going your bound to get a ticket
17202,1, crud is all i can say
2568,0,is bored at home
25625,2,happy mothers day to all mothers every where
12416,1, how s the head this morning question 
14057,1, k its 3 slices left
1310,0,i hate having to put my toddler in a disposable but her rash needs ointment i hate her having a rash even worse 
16552,1,one taken from earlier this week exclamation 
17970,2,i just wanna be happy
7721,0,gosh i miss singer s theater i miss learning music doing acting exercises n i especially miss being onstage 
17486,1,surf s up this week starting this afternoon
15458,1,ugh i was so hungry i scarfed my lunch before i even thought to take a pic feastfriday
3135,0, oh you poor thing exclamation exclamation so sorry babe 
2929,0, this is late but i was actually in the spelling bee back in the day i got eliminated in state finals though 
20964,2, busy but fantastic tried to unplug for a few days thank you for the ff exclamation exclamation 
20096,2, thanks janis
17184,1,hockey was so fukinã â â½ good censored you hole exclamation xd
12552,1,but i am one in a million
9753,1,getting ready for our annual old boys hockey competition let s bring down the students exclamation 
11939,1, yes i do exclamation because he is going to the marines to protect serve and leaving me exclamation 
11765,1, eww what r u doing atm question 
7946,0,emily is over tonight xd work experience is over jen i m going to miss seeing you like everyday
2284,0,friday is not treating me well so far 
25026,2, oh sure thx
20275,2, hi sharon missed you on our x factor last year exclamation exclamation come back exclamation exclamation x
7295,0, rude 
21799,2, happy birthday corey exclamation exclamation 
24680,2,i completely forgot it was mothersday today lol happy mothersday to all of you beautiful mums out there exclamation 
22030,2,watching my fav movie two can play that game exclamation ever notice how men start to act up around spring time question shante smith
10063,1,where is everyoneeeeeeeeee question 
15251,1,if everyone constantly retweeted that it would make it exclamation 
